epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.2694,1.82638,2.49977,1.0644,0.26184,0.14687,0.1149,0.05969,1.7523,1.61062,1.0327,0.0033251,0.0033251,0.0033251
2,90.9844,1.74111,1.63095,1.01888,0.21413,0.20654,0.15253,0.08221,1.65537,1.43214,0.99124,0.00659252,0.00659252,0.00659252
3,133.836,1.74612,1.55021,1.01019,0.24466,0.22526,0.17418,0.09277,1.68512,1.38599,1.0063,0.00979393,0.00979393,0.00979393
4,175.056,1.72063,1.49798,1.00479,0.29416,0.22374,0.19084,0.10436,1.63333,1.3825,0.98288,0.009703,0.009703,0.009703
5,216.715,1.6749,1.42808,0.99405,0.27549,0.23053,0.19343,0.1088,1.60277,1.29676,0.96381,0.009604,0.009604,0.009604
6,257.854,1.65069,1.37155,0.98576,0.31232,0.24068,0.21893,0.12206,1.56967,1.27864,0.96701,0.009505,0.009505,0.009505
7,299.294,1.62678,1.32959,0.97986,0.31573,0.25325,0.22937,0.12771,1.54807,1.23703,0.96857,0.009406,0.009406,0.009406
8,340.606,1.59975,1.29863,0.97355,0.32065,0.24061,0.22161,0.12368,1.6063,1.24828,0.96879,0.009307,0.009307,0.009307
9,381.625,1.5833,1.27452,0.96861,0.34736,0.26712,0.25123,0.14089,1.49279,1.17394,0.94966,0.009208,0.009208,0.009208
10,422.75,1.57242,1.25067,0.96252,0.34378,0.26531,0.24269,0.13536,1.48892,1.18596,0.94947,0.009109,0.009109,0.009109
11,463.148,1.55072,1.22149,0.96196,0.33926,0.25394,0.23951,0.13344,1.52534,1.20832,0.95598,0.00901,0.00901,0.00901
12,504.121,1.54564,1.21385,0.95935,0.3643,0.26345,0.25439,0.14164,1.51141,1.15955,0.9437,0.008911,0.008911,0.008911
13,544.442,1.53301,1.19202,0.95745,0.33875,0.26938,0.25043,0.14082,1.49204,1.18164,0.94264,0.008812,0.008812,0.008812
14,584.96,1.52049,1.18722,0.9524,0.35567,0.27453,0.2551,0.14263,1.4873,1.15913,0.94516,0.008713,0.008713,0.008713
15,625.637,1.53148,1.17572,0.95247,0.38506,0.28546,0.2741,0.15279,1.45868,1.12343,0.94352,0.008614,0.008614,0.008614
16,666.275,1.51835,1.16541,0.95155,0.37511,0.27235,0.26562,0.14873,1.48115,1.12572,0.94274,0.008515,0.008515,0.008515
